epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,608.872,1.45393,1.34923,1.52164,0.61006,0.54771,0.5721,0.28589,1.77809,1.62491,1.72778,0.000828443,0.000828443,0.000828443
43,624.535,1.47923,1.34476,1.49399,0.68157,0.50984,0.5699,0.27119,1.78662,1.67041,1.7432,0.000820525,0.000820525,0.000820525
44,639.001,1.45596,1.31326,1.50075,0.60049,0.57149,0.58574,0.29274,1.78147,1.69424,1.75181,0.000812468,0.000812468,0.000812468
45,653.833,1.43508,1.31956,1.49725,0.65707,0.5774,0.6003,0.29416,1.85207,1.65478,1.78732,0.000804277,0.000804277,0.000804277
46,668.606,1.40838,1.27129,1.48569,0.62571,0.57056,0.58382,0.27932,1.83461,1.76877,1.76282,0.000795954,0.000795954,0.000795954
47,682.962,1.41262,1.26705,1.48477,0.60022,0.52565,0.56536,0.28165,1.81336,1.71972,1.76483,0.000787503,0.000787503,0.000787503
48,697.142,1.36058,1.23745,1.43921,0.66962,0.54263,0.58357,0.28343,1.80589,1.66371,1.75009,0.000778929,0.000778929,0.000778929
49,711.574,1.40796,1.28058,1.49115,0.58078,0.58547,0.59726,0.3085,1.76628,1.61333,1.75146,0.000770234,0.000770234,0.000770234
50,726.587,1.34475,1.25976,1.42618,0.67964,0.52578,0.59842,0.28713,1.83091,1.61926,1.75143,0.000761423,0.000761423,0.000761423
51,740.78,1.37512,1.39582,1.44389,0.61614,0.59143,0.60929,0.30413,1.8082,1.55671,1.78796,0.0007525,0.0007525,0.0007525
52,755.119,1.3504,1.21268,1.41983,0.62699,0.59949,0.60554,0.29033,1.82944,1.56013,1.77448,0.000743468,0.000743468,0.000743468
53,769.294,1.38712,1.25543,1.44738,0.60487,0.60949,0.60744,0.29791,1.81236,1.58905,1.77703,0.000734332,0.000734332,0.000734332
54,783.837,1.33359,1.22647,1.41739,0.6654,0.49038,0.55129,0.26731,1.83255,1.72976,1.80532,0.000725094,0.000725094,0.000725094
55,798.088,1.38712,1.2542,1.46693,0.64339,0.50581,0.56648,0.27308,1.79712,1.69362,1.75628,0.000715761,0.000715761,0.000715761
56,812.276,1.38472,1.25523,1.45254,0.60612,0.55759,0.59046,0.30925,1.75195,1.57994,1.70725,0.000706335,0.000706335,0.000706335
57,827.408,1.31801,1.15584,1.40859,0.73614,0.49764,0.60012,0.29227,1.81946,1.59748,1.76944,0.00069682,0.00069682,0.00069682
58,841.565,1.34945,1.20059,1.412,0.65051,0.54971,0.58114,0.29464,1.76121,1.60506,1.73988,0.000687222,0.000687222,0.000687222
59,856.026,1.3317,1.15948,1.40324,0.67601,0.53087,0.58319,0.28518,1.85269,1.59994,1.78991,0.000677543,0.000677543,0.000677543
60,870.181,1.33182,1.18749,1.43103,0.65353,0.5238,0.56628,0.28116,1.82593,1.6059,1.80492,0.000667789,0.000667789,0.000667789
61,884.348,1.29159,1.11141,1.39366,0.61923,0.56159,0.59149,0.29425,1.84528,1.64204,1.81801,0.000657963,0.000657963,0.000657963
62,898.673,1.31733,1.09979,1.38407,0.66358,0.57191,0.59921,0.30102,1.8216,1.60336,1.75784,0.000648071,0.000648071,0.000648071
63,912.84,1.25455,1.10318,1.36741,0.5981,0.57752,0.5742,0.29538,1.85005,1.64063,1.80222,0.000638115,0.000638115,0.000638115
64,927.071,1.27268,1.07415,1.37094,0.62619,0.61133,0.62014,0.30663,1.8296,1.56846,1.80222,0.000628101,0.000628101,0.000628101
65,941.431,1.26911,1.0735,1.37834,0.61397,0.60743,0.59284,0.29268,1.85993,1.60783,1.81619,0.000618034,0.000618034,0.000618034
66,955.57,1.31223,1.08993,1.42644,0.64853,0.57955,0.60348,0.29364,1.82357,1.63454,1.76843,0.000607916,0.000607916,0.000607916
67,969.912,1.24169,1.08823,1.37362,0.64386,0.55836,0.59084,0.29465,1.81442,1.61405,1.76216,0.000597754,0.000597754,0.000597754
68,984.113,1.25411,1.0608,1.3654,0.6322,0.58044,0.60718,0.30577,1.82953,1.5791,1.80371,0.000587551,0.000587551,0.000587551
69,998.285,1.19369,0.97508,1.3339,0.60698,0.6294,0.62332,0.305,1.85458,1.58339,1.79661,0.000577311,0.000577311,0.000577311
70,1012.69,1.24404,0.98291,1.33237,0.66093,0.53121,0.61113,0.31796,1.78724,1.5208,1.76745,0.00056704,0.00056704,0.00056704
71,1027.48,1.19812,1.03282,1.33238,0.69047,0.54356,0.59852,0.30149,1.8301,1.59576,1.78618,0.000556742,0.000556742,0.000556742
72,1041.84,1.21981,0.9834,1.33596,0.6519,0.55334,0.60659,0.30272,1.80604,1.54656,1.74052,0.000546421,0.000546421,0.000546421
73,1056.01,1.22587,0.99999,1.33339,0.75314,0.52502,0.60987,0.30958,1.87215,1.57425,1.8461,0.000536081,0.000536081,0.000536081
74,1070.21,1.174,0.95903,1.31371,0.69635,0.53965,0.5964,0.30496,1.83116,1.55532,1.81097,0.000525728,0.000525728,0.000525728
75,1084.64,1.1808,0.91338,1.28674,0.63936,0.62151,0.63298,0.32358,1.84016,1.52895,1.80077,0.000515366,0.000515366,0.000515366
76,1099.47,1.15563,0.91735,1.29625,0.70827,0.57956,0.62014,0.30469,1.85173,1.57153,1.83544,0.000505,0.000505,0.000505
77,1113.84,1.15588,1.03922,1.29628,0.64479,0.59108,0.62208,0.30855,1.85695,1.48354,1.85128,0.000494634,0.000494634,0.000494634
78,1128.07,1.16652,0.93943,1.28601,0.63096,0.60337,0.5937,0.29666,1.86535,1.51157,1.82033,0.000484272,0.000484272,0.000484272
79,1142.32,1.1969,0.95311,1.33564,0.67175,0.57146,0.59491,0.31161,1.8085,1.5097,1.79877,0.000473919,0.000473919,0.000473919
80,1156.7,1.14815,0.91408,1.28753,0.67881,0.58937,0.61591,0.30709,1.84461,1.49793,1.84824,0.000463579,0.000463579,0.000463579
81,1170.91,1.16353,0.94225,1.31884,0.68747,0.54261,0.61519,0.30156,1.91397,1.56588,1.89391,0.000453258,0.000453258,0.000453258
82,1185.23,1.14083,0.93035,1.29461,0.73678,0.53771,0.61722,0.31264,1.87668,1.52901,1.8377,0.00044296,0.00044296,0.00044296
83,1199.38,1.12956,0.86644,1.2638,0.65585,0.58598,0.61287,0.29822,1.90513,1.52928,1.86876,0.000432689,0.000432689,0.000432689
84,1213.61,1.10305,0.87534,1.26557,0.7228,0.54759,0.61846,0.30757,1.89201,1.51668,1.88181,0.000422449,0.000422449,0.000422449
85,1228.06,1.10878,0.85713,1.26472,0.74539,0.53171,0.62416,0.31398,1.82077,1.47059,1.84046,0.000412246,0.000412246,0.000412246
86,1242.19,1.09536,0.86039,1.26066,0.69156,0.5902,0.62448,0.3069,1.91674,1.55173,1.91326,0.000402084,0.000402084,0.000402084
87,1256.52,1.10973,0.88926,1.27134,0.68561,0.56743,0.61133,0.30052,1.89659,1.52497,1.8957,0.000391966,0.000391966,0.000391966
88,1270.66,1.11653,0.87968,1.25308,0.72477,0.5734,0.61389,0.30566,1.87453,1.58691,1.87397,0.000381899,0.000381899,0.000381899
89,1284.84,1.07528,0.87257,1.25747,0.66354,0.57579,0.62467,0.30932,1.86661,1.48388,1.85482,0.000371885,0.000371885,0.000371885
90,1299.21,1.05137,0.79496,1.22526,0.68201,0.58543,0.61039,0.31418,1.80834,1.5373,1.79131,0.000361929,0.000361929,0.000361929
91,1313.36,1.04786,0.79787,1.21739,0.64735,0.57143,0.60043,0.30852,1.86268,1.58932,1.85284,0.000352037,0.000352037,0.000352037
92,1327.66,1.06638,0.81657,1.2447,0.64622,0.603,0.61187,0.31001,1.84072,1.54552,1.8444,0.000342211,0.000342211,0.000342211
93,1341.82,1.05095,0.80374,1.21278,0.70059,0.56956,0.62059,0.30158,1.90216,1.48325,1.9056,0.000332457,0.000332457,0.000332457
94,1355.96,1.04944,0.80317,1.23735,0.66464,0.61455,0.62649,0.31327,1.85149,1.50255,1.8664,0.000322778,0.000322778,0.000322778
95,1370.27,1.05865,0.81936,1.22979,0.70597,0.59149,0.62754,0.31028,1.86895,1.47023,1.87107,0.00031318,0.00031318,0.00031318
96,1384.44,1.02726,0.80871,1.18023,0.70471,0.56106,0.63129,0.32295,1.82164,1.4498,1.84036,0.000303665,0.000303665,0.000303665
97,1398.8,1.02554,0.81063,1.2259,0.67986,0.6062,0.63732,0.32807,1.85371,1.43982,1.87327,0.000294239,0.000294239,0.000294239
98,1414.43,1.03248,0.7717,1.23883,0.68256,0.58441,0.63629,0.31674,1.85157,1.44253,1.8627,0.000284906,0.000284906,0.000284906
99,1428.75,1.01243,0.7643,1.20899,0.71675,0.57152,0.61947,0.30971,1.84479,1.46398,1.89182,0.000275668,0.000275668,0.000275668
100,1443.11,0.98854,0.75525,1.20273,0.71832,0.59342,0.64911,0.32619,1.84501,1.4673,1.89727,0.000266532,0.000266532,0.000266532
101,1457.29,1.01747,0.79046,1.21013,0.75195,0.55356,0.63191,0.33042,1.86108,1.39491,1.89846,0.0002575,0.0002575,0.0002575
102,1472.29,1.0001,0.76809,1.21434,0.67248,0.61337,0.63479,0.32293,1.82496,1.4222,1.87479,0.000248577,0.000248577,0.000248577
103,1486.46,0.95767,0.74753,1.17117,0.74785,0.5714,0.63638,0.33703,1.86898,1.45503,1.92442,0.000239766,0.000239766,0.000239766
104,1501.45,0.9786,0.74266,1.18182,0.77683,0.54559,0.61586,0.31499,1.88619,1.50192,1.93851,0.000231071,0.000231071,0.000231071
105,1515.78,0.94348,0.72367,1.16564,0.70908,0.59664,0.63933,0.32756,1.85454,1.36371,1.91854,0.000222497,0.000222497,0.000222497
106,1529.92,0.94995,0.70483,1.15372,0.70358,0.59933,0.64136,0.32779,1.88496,1.41039,1.96442,0.000214046,0.000214046,0.000214046
107,1544.29,0.94819,0.70282,1.16568,0.71946,0.58143,0.63992,0.32968,1.85677,1.4738,1.89374,0.000205723,0.000205723,0.000205723
108,1558.46,0.95366,0.72283,1.17473,0.66133,0.6113,0.6422,0.32325,1.85646,1.4465,1.89147,0.000197532,0.000197532,0.000197532
109,1575.45,0.94815,0.70106,1.16459,0.72456,0.57789,0.63072,0.31964,1.85999,1.44481,1.90739,0.000189475,0.000189475,0.000189475
110,1589.61,0.90731,0.67879,1.14206,0.71344,0.58343,0.63153,0.31857,1.84831,1.45902,1.8849,0.000181557,0.000181557,0.000181557
111,1603.8,0.91535,0.66638,1.14047,0.70952,0.6114,0.64998,0.33163,1.83337,1.40539,1.89314,0.00017378,0.00017378,0.00017378
112,1618.15,0.90999,0.68553,1.14022,0.71926,0.59533,0.64495,0.33062,1.84227,1.44704,1.89283,0.000166149,0.000166149,0.000166149
113,1632.34,0.9252,0.67723,1.13377,0.67886,0.6388,0.65209,0.3311,1.86399,1.45051,1.91341,0.000158667,0.000158667,0.000158667
114,1646.68,0.89871,0.68771,1.14531,0.68032,0.61903,0.64068,0.32532,1.86381,1.42599,1.90435,0.000151336,0.000151336,0.000151336
115,1661.03,0.88438,0.63573,1.1238,0.68118,0.60524,0.63747,0.32675,1.84382,1.39173,1.89924,0.000144161,0.000144161,0.000144161
116,1675.21,0.92026,0.68484,1.1449,0.68509,0.58933,0.62946,0.32827,1.85866,1.37956,1.92984,0.000137143,0.000137143,0.000137143
117,1689.58,0.93377,0.70249,1.144,0.74946,0.58543,0.63447,0.3237,1.87534,1.37172,1.93426,0.000130287,0.000130287,0.000130287
118,1703.76,0.86562,0.65241,1.12153,0.72936,0.57855,0.63016,0.31787,1.88171,1.40292,1.94406,0.000123596,0.000123596,0.000123596
119,1717.93,0.8803,0.65683,1.11702,0.7142,0.59596,0.62328,0.31897,1.8619,1.4064,1.93402,0.000117072,0.000117072,0.000117072
120,1732.27,0.86353,0.6752,1.1348,0.79483,0.54476,0.63961,0.33595,1.81787,1.40335,1.88373,0.000110718,0.000110718,0.000110718
121,1749.43,0.89336,0.64659,1.13406,0.65278,0.64345,0.63696,0.32595,1.83835,1.39993,1.92715,0.000104537,0.000104537,0.000104537
122,1764.68,0.89326,0.67287,1.14481,0.72036,0.59533,0.6301,0.32339,1.83998,1.40998,1.91444,9.85311e-05,9.85311e-05,9.85311e-05
123,1779.57,0.86126,0.63326,1.11545,0.67472,0.64311,0.62729,0.32579,1.85081,1.3852,1.90405,9.2704e-05,9.2704e-05,9.2704e-05
124,1793.89,0.88314,0.63173,1.13095,0.68987,0.61245,0.63616,0.32576,1.86108,1.38484,1.91133,8.70577e-05,8.70577e-05,8.70577e-05
125,1808.27,0.85116,0.61361,1.11594,0.71744,0.6053,0.64721,0.32699,1.87631,1.41572,1.93897,8.15947e-05,8.15947e-05,8.15947e-05
126,1822.44,0.87054,0.63891,1.12579,0.7323,0.5814,0.63904,0.33043,1.86272,1.4138,1.93823,7.63174e-05,7.63174e-05,7.63174e-05
127,1836.83,0.82663,0.61105,1.10525,0.71968,0.5978,0.62823,0.32005,1.87038,1.41903,1.95895,7.12282e-05,7.12282e-05,7.12282e-05
128,1850.97,0.8659,0.62972,1.12126,0.70206,0.60709,0.62882,0.32449,1.87586,1.4057,1.9717,6.63292e-05,6.63292e-05,6.63292e-05
129,1865.11,0.84479,0.66204,1.08997,0.70349,0.6073,0.62932,0.32203,1.88259,1.37366,1.97413,6.16227e-05,6.16227e-05,6.16227e-05
130,1879.45,0.84507,0.6206,1.11073,0.76673,0.55504,0.62962,0.32371,1.8648,1.37323,1.96649,5.71106e-05,5.71106e-05,5.71106e-05
131,1893.59,0.85598,0.63877,1.10255,0.74672,0.5793,0.63715,0.32317,1.85865,1.39475,1.95178,5.2795e-05,5.2795e-05,5.2795e-05
132,1907.95,0.80098,0.61184,1.07166,0.76082,0.57549,0.6424,0.32702,1.84602,1.38352,1.94171,4.86777e-05,4.86777e-05,4.86777e-05
133,1922.21,0.83396,0.62755,1.10205,0.66692,0.62757,0.64192,0.32697,1.8485,1.36606,1.95633,4.47606e-05,4.47606e-05,4.47606e-05
134,1936.38,0.82275,0.59563,1.09575,0.76673,0.56746,0.63662,0.32707,1.85593,1.3739,1.96543,4.10454e-05,4.10454e-05,4.10454e-05
135,1950.73,0.87095,0.65567,1.13034,0.70077,0.61285,0.643,0.33124,1.84582,1.38659,1.94297,3.75337e-05,3.75337e-05,3.75337e-05
136,1965.59,0.79798,0.54872,1.07299,0.70075,0.6053,0.63357,0.32566,1.86205,1.41992,1.9878,3.4227e-05,3.4227e-05,3.4227e-05
137,1980.12,0.78548,0.52535,1.04822,0.71854,0.5945,0.63014,0.31929,1.85854,1.4351,1.99231,3.11268e-05,3.11268e-05,3.11268e-05
138,1994.39,0.78844,0.51303,1.06046,0.74509,0.57141,0.63069,0.32242,1.85275,1.40777,2.00056,2.82345e-05,2.82345e-05,2.82345e-05
