epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.542,1.3099,1.0784,1.31563,0.69952,0.64203,0.68905,0.41376,1.39944,1.17543,1.53796,4.99664e-05,4.99664e-05,0.000117216
2,383.744,1.24796,0.96626,1.27211,0.70348,0.64288,0.68903,0.41286,1.40008,1.18949,1.53997,4.93185e-05,4.93185e-05,4.93185e-05
3,570.942,1.23819,0.95324,1.26402,0.70699,0.63737,0.69022,0.41677,1.40013,1.18048,1.5479,4.73205e-05,4.73205e-05,4.73205e-05
4,758.131,1.23532,0.94648,1.26225,0.69563,0.64235,0.68452,0.41251,1.40091,1.18711,1.55115,4.41421e-05,4.41421e-05,4.41421e-05
5,944.902,1.23596,0.94226,1.26092,0.71223,0.63451,0.68744,0.41475,1.39853,1.17979,1.5493,4e-05,4e-05,4e-05
6,1132.2,1.22982,0.93372,1.25724,0.69588,0.64374,0.68319,0.41159,1.41107,1.18824,1.5527,3.51764e-05,3.51764e-05,3.51764e-05
7,1318.91,1.23349,0.93728,1.26054,0.69625,0.63771,0.68418,0.41128,1.40556,1.18797,1.5516,3e-05,3e-05,3e-05
