epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,317.879,1.37854,1.13987,1.40172,0.67127,0.56621,0.60418,0.29409,1.77164,1.50741,1.67941,0.000828443,0.000828443,0.000828443
43,325.3,1.36864,1.16869,1.38133,0.66914,0.57546,0.6241,0.30144,1.76406,1.42332,1.65303,0.000820525,0.000820525,0.000820525
44,332.856,1.36979,1.14647,1.4009,0.6312,0.56025,0.58464,0.28778,1.75034,1.51829,1.66825,0.000812468,0.000812468,0.000812468
45,340.139,1.33016,1.11666,1.36312,0.644,0.54368,0.57241,0.27726,1.75199,1.50439,1.66985,0.000804277,0.000804277,0.000804277
46,347.405,1.32379,1.08347,1.37016,0.65615,0.55387,0.59912,0.28562,1.723,1.47382,1.64129,0.000795954,0.000795954,0.000795954
47,354.894,1.35257,1.12684,1.38247,0.63532,0.57156,0.58479,0.28636,1.79353,1.47987,1.7161,0.000787503,0.000787503,0.000787503
48,362.174,1.35984,1.15553,1.37029,0.69076,0.57852,0.61134,0.29635,1.73838,1.44974,1.67445,0.000778929,0.000778929,0.000778929
49,369.432,1.2988,1.05198,1.3403,0.62123,0.60333,0.61101,0.29613,1.78345,1.46077,1.73053,0.000770234,0.000770234,0.000770234
50,376.713,1.28972,1.05977,1.36018,0.65144,0.55543,0.57943,0.27392,1.82099,1.58791,1.75605,0.000761423,0.000761423,0.000761423
51,383.968,1.28707,1.05439,1.3571,0.64581,0.57359,0.58398,0.28821,1.777,1.47691,1.71132,0.0007525,0.0007525,0.0007525
52,391.472,1.27811,0.99933,1.32029,0.68488,0.57537,0.62026,0.29867,1.76314,1.4501,1.67701,0.000743468,0.000743468,0.000743468
53,398.758,1.29354,1.05387,1.34399,0.67794,0.55956,0.59971,0.28117,1.8193,1.46953,1.73501,0.000734332,0.000734332,0.000734332
54,405.979,1.28476,1.02174,1.33551,0.74014,0.56156,0.62463,0.29636,1.8011,1.45703,1.7224,0.000725094,0.000725094,0.000725094
55,413.245,1.28147,0.9992,1.32064,0.65453,0.5901,0.61537,0.30632,1.77882,1.42121,1.71662,0.000715761,0.000715761,0.000715761
56,420.905,1.28463,0.99818,1.31387,0.63983,0.59797,0.6063,0.3086,1.75326,1.43091,1.69748,0.000706335,0.000706335,0.000706335
57,428.612,1.20261,1.04104,1.2775,0.6894,0.56149,0.62247,0.30893,1.79617,1.39045,1.71656,0.00069682,0.00069682,0.00069682
58,436.129,1.24599,0.9747,1.30913,0.6753,0.57341,0.59596,0.29616,1.7888,1.40163,1.74131,0.000687222,0.000687222,0.000687222
59,443.43,1.23593,0.96753,1.30085,0.67809,0.56309,0.61035,0.31625,1.73997,1.42601,1.66631,0.000677543,0.000677543,0.000677543
60,451.001,1.24535,0.96882,1.30113,0.6689,0.60648,0.63638,0.32453,1.74398,1.4109,1.70373,0.000667789,0.000667789,0.000667789
61,458.752,1.23384,0.95451,1.28894,0.67344,0.5699,0.61624,0.31359,1.78032,1.39763,1.70923,0.000657963,0.000657963,0.000657963
62,466.039,1.25105,0.99911,1.31405,0.68329,0.59513,0.61223,0.30119,1.79372,1.38706,1.74605,0.000648071,0.000648071,0.000648071
63,473.315,1.18019,0.91053,1.26788,0.65102,0.52485,0.56755,0.28416,1.76329,1.58857,1.72744,0.000638115,0.000638115,0.000638115
64,480.599,1.18028,0.94717,1.25995,0.68942,0.55562,0.62194,0.32164,1.70468,1.40984,1.64667,0.000628101,0.000628101,0.000628101
65,487.844,1.19266,0.90854,1.2797,0.66311,0.63324,0.6454,0.30437,1.75828,1.35528,1.65728,0.000618034,0.000618034,0.000618034
66,495.33,1.16843,0.9204,1.26282,0.70375,0.5894,0.64582,0.31507,1.75527,1.34807,1.69381,0.000607916,0.000607916,0.000607916
67,502.595,1.13173,0.85033,1.21427,0.63259,0.59924,0.63975,0.32137,1.74277,1.35068,1.71876,0.000597754,0.000597754,0.000597754
68,509.878,1.15519,0.88354,1.25715,0.77224,0.53562,0.61369,0.31245,1.77583,1.40071,1.74872,0.000587551,0.000587551,0.000587551
69,517.146,1.13348,0.84652,1.24493,0.70112,0.59772,0.63862,0.32505,1.76067,1.32496,1.72,0.000577311,0.000577311,0.000577311
70,524.671,1.16169,0.89183,1.26168,0.69868,0.56795,0.62459,0.31246,1.81049,1.38775,1.78594,0.00056704,0.00056704,0.00056704
71,532.105,1.11352,0.93022,1.22539,0.61313,0.57749,0.60072,0.31592,1.75771,1.42622,1.74275,0.000556742,0.000556742,0.000556742
72,539.382,1.11563,0.83678,1.22643,0.67941,0.55749,0.61579,0.31259,1.76135,1.40066,1.72257,0.000546421,0.000546421,0.000546421
73,546.648,1.14845,0.86336,1.25313,0.68541,0.59478,0.60875,0.31115,1.76203,1.38862,1.72711,0.000536081,0.000536081,0.000536081
74,554.031,1.13501,0.82906,1.22252,0.71827,0.57537,0.64095,0.32698,1.73025,1.34157,1.70428,0.000525728,0.000525728,0.000525728
75,561.932,1.10024,0.7902,1.20603,0.75944,0.53724,0.62379,0.31798,1.7625,1.36605,1.72771,0.000515366,0.000515366,0.000515366
