epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5433.43,1.44705,1.37413,1.40383,0.69736,0.63662,0.68584,0.40937,1.39924,1.28335,1.47567,0.000828443,0.000828443,0.000828443
43,5559,1.44228,1.36382,1.40147,0.70899,0.63143,0.68644,0.40888,1.38839,1.29693,1.46589,0.000820525,0.000820525,0.000820525
44,5680.41,1.43867,1.36516,1.3969,0.70277,0.62525,0.68181,0.40682,1.40696,1.29676,1.48552,0.000812468,0.000812468,0.000812468
45,5804.64,1.44744,1.3649,1.40621,0.71604,0.63424,0.69163,0.41286,1.39423,1.27502,1.48211,0.000804277,0.000804277,0.000804277
46,5930.22,1.43806,1.35307,1.39136,0.71766,0.62655,0.68942,0.41053,1.39478,1.27915,1.47265,0.000795954,0.000795954,0.000795954
47,6056.45,1.43693,1.34594,1.3934,0.7121,0.62885,0.68937,0.4116,1.38929,1.27157,1.46508,0.000787503,0.000787503,0.000787503
48,6177.43,1.42678,1.33125,1.38465,0.69697,0.64419,0.69033,0.40815,1.3926,1.28845,1.47648,0.000778929,0.000778929,0.000778929
49,6295.21,1.42288,1.3314,1.38511,0.70509,0.64122,0.69279,0.41457,1.37706,1.26619,1.45887,0.000770234,0.000770234,0.000770234
50,6415.89,1.42606,1.33099,1.38635,0.70017,0.63366,0.68934,0.41326,1.37622,1.27835,1.45926,0.000761423,0.000761423,0.000761423
51,6538.88,1.43131,1.3395,1.392,0.69842,0.65064,0.68895,0.41279,1.37603,1.25914,1.46133,0.0007525,0.0007525,0.0007525
52,6660.55,1.42048,1.32836,1.38285,0.717,0.63258,0.69027,0.41125,1.37959,1.25808,1.46735,0.000743468,0.000743468,0.000743468
53,6782.17,1.42091,1.32988,1.38646,0.71219,0.6324,0.68981,0.41216,1.37518,1.25719,1.46682,0.000734332,0.000734332,0.000734332
54,6903.05,1.40923,1.30757,1.37993,0.71142,0.63131,0.69064,0.41362,1.37955,1.25616,1.47137,0.000725094,0.000725094,0.000725094
55,7024,1.41146,1.30385,1.37332,0.70793,0.64029,0.69512,0.41622,1.37645,1.25623,1.46596,0.000715761,0.000715761,0.000715761
56,7145.92,1.41181,1.30291,1.37861,0.711,0.64088,0.69604,0.41716,1.37373,1.24936,1.46551,0.000706335,0.000706335,0.000706335
57,7269.38,1.4071,1.30214,1.37812,0.70335,0.63992,0.69538,0.41659,1.37316,1.24878,1.46277,0.00069682,0.00069682,0.00069682
58,7392.39,1.40179,1.28722,1.36859,0.70377,0.6444,0.69592,0.41791,1.37207,1.24365,1.46263,0.000687222,0.000687222,0.000687222
59,7518.43,1.40455,1.29057,1.36938,0.69251,0.64755,0.69478,0.41805,1.37902,1.24813,1.46498,0.000677543,0.000677543,0.000677543
60,7638.46,1.39084,1.27971,1.36194,0.70688,0.63279,0.69282,0.41917,1.37688,1.24953,1.46374,0.000667789,0.000667789,0.000667789
61,7757.2,1.3954,1.28012,1.36457,0.70538,0.64051,0.69635,0.42175,1.37266,1.2309,1.45811,0.000657963,0.000657963,0.000657963
62,7875.6,1.38788,1.27285,1.35926,0.70725,0.64707,0.69837,0.42048,1.37693,1.23337,1.46439,0.000648071,0.000648071,0.000648071
63,7998.32,1.38531,1.25992,1.35314,0.70237,0.65235,0.69891,0.41962,1.3787,1.22591,1.46181,0.000638115,0.000638115,0.000638115
64,8121.93,1.39325,1.2648,1.36161,0.70359,0.65078,0.69862,0.42144,1.37307,1.22581,1.45925,0.000628101,0.000628101,0.000628101
65,8241.7,1.3875,1.25781,1.35534,0.70472,0.64662,0.69727,0.42089,1.37222,1.22583,1.46425,0.000618034,0.000618034,0.000618034
66,8364.45,1.38196,1.24953,1.35038,0.70641,0.64573,0.69649,0.41952,1.36979,1.23046,1.45991,0.000607916,0.000607916,0.000607916
67,8486,1.37644,1.25375,1.35362,0.70457,0.64459,0.69628,0.4199,1.37318,1.23083,1.4618,0.000597754,0.000597754,0.000597754
68,8608.03,1.37621,1.24019,1.34952,0.72117,0.63604,0.69753,0.4204,1.37344,1.21893,1.45978,0.000587551,0.000587551,0.000587551
69,8729.19,1.37233,1.24043,1.35031,0.71443,0.64121,0.69778,0.42016,1.37491,1.2211,1.46302,0.000577311,0.000577311,0.000577311
70,8851.12,1.38165,1.23732,1.34956,0.72034,0.63978,0.69869,0.42233,1.37341,1.21801,1.46419,0.00056704,0.00056704,0.00056704
71,8973.34,1.37499,1.23623,1.35213,0.71411,0.64083,0.69857,0.42269,1.37031,1.22043,1.46086,0.000556742,0.000556742,0.000556742
72,9096.41,1.37107,1.2159,1.34116,0.7126,0.6435,0.69902,0.42367,1.36948,1.22239,1.46009,0.000546421,0.000546421,0.000546421
73,9219,1.37103,1.23068,1.34616,0.71562,0.6424,0.70075,0.42379,1.36841,1.22089,1.46027,0.000536081,0.000536081,0.000536081
74,9344.76,1.36413,1.21716,1.33827,0.71667,0.64201,0.69962,0.42288,1.3685,1.22141,1.45898,0.000525728,0.000525728,0.000525728
75,9467.43,1.36299,1.2166,1.33715,0.71824,0.6412,0.70112,0.42249,1.37592,1.2178,1.46697,0.000515366,0.000515366,0.000515366
76,9590.02,1.36587,1.2215,1.3436,0.71524,0.64226,0.70013,0.42258,1.37544,1.21533,1.4673,0.000505,0.000505,0.000505
77,9714.01,1.35634,1.21159,1.33678,0.71272,0.64712,0.70077,0.42301,1.37439,1.21801,1.46808,0.000494634,0.000494634,0.000494634
78,9835.16,1.35509,1.19751,1.33055,0.71219,0.6452,0.70043,0.42148,1.37568,1.21958,1.47098,0.000484272,0.000484272,0.000484272
79,9954.69,1.35858,1.20009,1.33859,0.71839,0.64155,0.70044,0.42193,1.37666,1.21685,1.47022,0.000473919,0.000473919,0.000473919
80,10076.6,1.34928,1.19209,1.32753,0.72075,0.64239,0.69904,0.42208,1.37726,1.21843,1.47118,0.000463579,0.000463579,0.000463579
